ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,La Victoria,2,PEN,8,2168.88,2101,1500,2500,62.5,36.92,8,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Victoria,3,PEN,3,2863.33,2990,2400,3200,81,33.22,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,La Viña,2,PEN,1,1400,1400,1400,1400,70,20,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Begonias,1,PEN,1,1399,1399,1399,1399,25,55.96,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Colinas De Monterrico,3,PEN,1,2500,2500,2500,2500,80,31.25,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Gardenias,2,PEN,1,2300,2300,2300,2300,72,31.94,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Lomas De La Molina Vieja,2,PEN,1,1450,1450,1450,1450,80,18.13,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Magnolias,3,PEN,1,3200,3200,3200,3200,84,38.1,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Palmeras,1,PEN,1,700,700,700,700,40,17.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Praderas De La Molina,2,PEN,1,2100,2100,2100,2100,120,17.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Las Torres De Limatambo,3,PEN,1,2600,2600,2600,2600,82,31.71,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Leuro,3,PEN,1,4500,4500,4500,4500,100,45,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima,1,PEN,1,2500,2500,2500,2500,42,59.52,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima,2,PEN,2,1525,750,750,2300,55.5,12.5,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima,3,PEN,2,2275,1450,1450,3100,86.5,14.5,2,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima,4,PEN,1,2100,2100,2100,2100,136,15.44,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima Cercado,1,PEN,6,1533.33,1450,1300,1900,53.5,27.54,6,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima Cercado,2,PEN,9,1894.44,1900,1600,2200,60.89,31.37,9,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lima Cercado,3,PEN,5,2070,2200,1500,2500,87.2,27.5,5,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Limatambo,1,PEN,1,3400,3400,3400,3400,71,47.89,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Limatambo,2,PEN,5,2200,2200,1850,2550,56.6,39.23,5,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Lince,1,PEN,14,2150,2200,1200,2600,47.93,47.67,14,0,0,null,2026-07-14T01:25:15.299954Z
